,totalUnder,totalOverOdds,awayTeamRunLine,totalUnderOdds,awayTeamRunLineOdds,awayTeamMLOdds,homeTeamRunLine,homeTeamRunLineOdds,homeTeamMLOdds,totalOver,house,game,date,home_team,away_team
0,8,-105,+1.5,-115,-130,+155,-1.5,+110,-190,8,betmgm,CHC@ATL,20240514,ATL,CHC
0,8,-105,+1.5,-115,-130,+164,-1.5,+108,-196,8,fanduel,CHC@ATL,20240514,ATL,CHC
0,7.5,-115,+1.5,-110,-130,+160,-1.5,+110,-200,7.5,hardrock,CHC@ATL,20240514,ATL,CHC
0,8.5,-115,+1.5,-105,-190,+105,-1.5,+155,-125,8.5,betmgm,CIN@ARI,20240514,ARI,CIN
0,8.5,-115,+1.5,-105,-194,+108,-1.5,+158,-126,8.5,fanduel,CIN@ARI,20240514,ARI,CIN
0,8.5,-120,-1.5,-105,+160,even,+1.5,-195,-120,8.5,hardrock,CIN@ARI,20240514,ARI,CIN
0,9,-120,-1.5,even,+155,even,+1.5,-190,-120,9,betmgm,CLE@TEX,20240514,TEX,CLE
0,9.5,-102,-1.5,-120,+158,+102,+1.5,-192,-120,9.5,fanduel,CLE@TEX,20240514,TEX,CLE
0,9.5,even,-1.5,-125,+155,-105,+1.5,-190,-115,9.5,hardrock,CLE@TEX,20240514,TEX,CLE
0,7,-110,+1.5,-110,+120,+240,-1.5,-145,-300,7,betmgm,COL@SD,20240514,SD,COL
0,7,-110,+1.5,-110,+112,+245,-1.5,-134,-300,7,fanduel,COL@SD,20240514,SD,COL
0,7.5,+110,+1.5,-135,+110,+240,-1.5,-130,-325,7.5,hardrock,COL@SD,20240514,SD,COL
0,7,-120,+1.5,even,-155,+135,-1.5,+125,-160,7,betmgm,KC@SEA,20240514,SEA,KC
0,7,-122,+1.5,-100,-166,+134,-1.5,+138,-158,7,fanduel,KC@SEA,20240514,SEA,KC
0,7.5,+110,+1.5,-135,-165,+135,-1.5,+135,-165,7.5,hardrock,KC@SEA,20240514,SEA,KC
0,8.5,even,-1.5,-120,-115,-190,+1.5,-105,+155,8.5,betmgm,LAD@SF,20240514,SF,LAD
0,8.5,-105,-1.5,-115,-115,-186,+1.5,-105,+156,8.5,fanduel,LAD@SF,20240514,SF,LAD
0,8.5,-105,-1.5,-115,-110,-190,+1.5,-110,+155,8.5,hardrock,LAD@SF,20240514,SF,LAD
0,8,-115,+1.5,-105,-140,+145,-1.5,+115,-175,8,betmgm,MIA@DET,20240514,DET,MIA
0,8,-110,+1.5,-110,-137,+152,-1.5,+114,-180,8,fanduel,MIA@DET,20240514,DET,MIA
0,8.5,+105,+1.5,-125,-145,+150,-1.5,+115,-180,8.5,hardrock,MIA@DET,20240514,DET,MIA
0,8.5,-110,-1.5,-110,+140,-120,+1.5,-165,even,8.5,betmgm,NYY@MIN,20240514,MIN,NYY
0,8.5,-108,-1.5,-112,+138,-116,+1.5,-166,-102,8.5,fanduel,NYY@MIN,20240514,MIN,NYY
0,8.5,-110,-1.5,-110,+135,-120,+1.5,-165,even,8.5,hardrock,NYY@MIN,20240514,MIN,NYY
0,8.5,-105,+1.5,-115,-140,+145,-1.5,+115,-175,8.5,betmgm,OAK@HOU,20240514,HOU,OAK
0,8.5,-106,+1.5,-114,-142,+150,-1.5,+118,-178,8.5,fanduel,OAK@HOU,20240514,HOU,OAK
0,8.5,-110,+1.5,-110,-140,+150,-1.5,+115,-180,8.5,hardrock,OAK@HOU,20240514,HOU,OAK
0,8,even,-1.5,-120,+140,-120,+1.5,-165,even,8,betmgm,PHI@NYM,20240514,NYM,PHI
0,7.5,-120,-1.5,-102,+140,-122,+1.5,-170,+104,7.5,fanduel,PHI@NYM,20240514,NYM,PHI
0,7.5,-120,-1.5,even,+130,-125,+1.5,-160,+105,7.5,hardrock,PHI@NYM,20240514,NYM,PHI
0,8.5,-105,+1.5,-115,-145,+140,-1.5,+120,-165,8.5,betmgm,PIT@MIL,20240514,MIL,PIT
0,8.5,-105,+1.5,-115,-152,+134,-1.5,+126,-158,8.5,fanduel,PIT@MIL,20240514,MIL,PIT
0,8.5,-105,+1.5,-115,-155,+135,-1.5,+125,-165,8.5,hardrock,PIT@MIL,20240514,MIL,PIT
0,7.5,+105,-1.5,-125,+125,-140,+1.5,-155,+120,7.5,betmgm,STL@LAA,20240514,LAA,STL
0,7.5,-104,-1.5,-118,+115,-144,+1.5,-138,+122,7.5,fanduel,STL@LAA,20240514,LAA,STL
0,7.5,+105,-1.5,-130,+125,-145,+1.5,-150,+120,7.5,hardrock,STL@LAA,20240514,LAA,STL
0,9,-115,-1.5,-105,+155,-105,+1.5,-190,-115,9,betmgm,TB@BOS,20240514,BOS,TB
0,9,-112,-1.5,-108,+142,-102,+1.5,-172,-116,9,fanduel,TB@BOS,20240514,BOS,TB
0,8.5,-135,-1.5,+110,+150,-105,+1.5,-185,-115,8.5,hardrock,TB@BOS,20240514,BOS,TB
0,7.5,-115,+1.5,-105,-150,+140,-1.5,+125,-165,7.5,betmgm,TOR@BAL,20240514,BAL,TOR
0,8,-104,+1.5,-118,-154,+138,-1.5,+128,-164,8,fanduel,TOR@BAL,20240514,BAL,TOR
0,7.5,-120,+1.5,-105,-155,+140,-1.5,+125,-170,7.5,hardrock,TOR@BAL,20240514,BAL,TOR
0,7.5,-105,-1.5,-115,+150,-115,+1.5,-185,-105,7.5,betmgm,WAS@CHW,20240514,CHW,WAS
0,7.5,-110,-1.5,-110,+155,-108,+1.5,-188,-108,7.5,fanduel,WAS@CHW,20240514,CHW,WAS
0,7.5,-110,-1.5,-115,+145,-115,+1.5,-180,-105,7.5,hardrock,WAS@CHW,20240514,CHW,WAS
0,8,-105,-1.5,-115,+145,-115,+1.5,-175,-105,8,betmgm,WAS@CHW_2,20240514,CHW_2,WAS
0,8,-105,-1.5,-115,+142,-118,+1.5,-172,-100,8,fanduel,WAS@CHW_2,20240514,CHW_2,WAS
0,8,-108,-1.5,-112,+143,N/A,+1.5,-175,N/A,8,hardrock,WAS@CHW_2,20240514,CHW_2,WAS
